MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width
219000123,2024-01-15T08:00:00,56.1500,11.5000,12.4,045.0,46,KATTEGAT STAR,IMO9123456,OZAB,Cargo,Under way using engine,180.0,32.0
219000123,2024-01-15T08:05:00,56.1620,11.5210,12.6,046.0,46,KATTEGAT STAR,IMO9123456,OZAB,Cargo,Under way using engine,180.0,32.0
219000123,2024-01-15T08:10:00,56.1740,11.5420,12.5,046.0,46,KATTEGAT STAR,IMO9123456,OZAB,Cargo,Under way using engine,180.0,32.0
219000123,2024-01-15T08:15:00,56.1860,11.5630,12.7,046.0,46,KATTEGAT STAR,IMO9123456,OZAB,Cargo,Under way using engine,180.0,32.0
266001234,2024-01-15T08:00:00,56.2800,11.7000,8.2,180.0,180,GOTHIA TANKER,IMO9234567,SBCD,Tanker,Under way using engine,210.0,32.0
266001234,2024-01-15T08:05:00,56.2730,11.7000,8.1,180.0,180,GOTHIA TANKER,IMO9234567,SBCD,Tanker,Under way using engine,210.0,32.0
266001234,2024-01-15T08:10:00,56.2660,11.7000,8.3,180.0,180,GOTHIA TANKER,IMO9234567,SBCD,Tanker,Under way using engine,210.0,32.0
266001234,2024-01-15T08:15:00,56.2590,11.7000,8.2,180.0,180,GOTHIA TANKER,IMO9234567,SBCD,Tanker,Under way using engine,210.0,32.0
211000456,2024-01-15T08:00:00,57.0200,11.2000,15.1,090.0,90,HANSE TRADER,IMO9345678,DABC,Cargo,Under way using engine,140.0,22.0
211000456,2024-01-15T08:05:00,57.0200,11.2240,15.3,090.0,90,HANSE TRADER,IMO9345678,DABC,Cargo,Under way using engine,140.0,22.0
211000456,2024-01-15T08:10:00,57.0200,11.2480,15.0,090.0,90,HANSE TRADER,IMO9345678,DABC,Cargo,Under way using engine,140.0,22.0
211000456,2024-01-15T08:15:00,57.0200,11.2720,15.2,090.0,90,HANSE TRADER,IMO9345678,DABC,Cargo,Under way using engine,140.0,22.0
220011223,2024-01-15T08:00:00,55.9800,11.0500,0.0,000.0,0,COPENHAGEN PILOT,IMO9456789,OUVW,Pilot Vessel,Moored,28.0,7.0
220011223,2024-01-15T08:10:00,55.9800,11.0500,0.1,000.0,0,COPENHAGEN PILOT,IMO9456789,OUVW,Pilot Vessel,Moored,28.0,7.0
220011223,2024-01-15T08:20:00,55.9810,11.0510,2.5,015.0,15,COPENHAGEN PILOT,IMO9456789,OUVW,Pilot Vessel,Under way using engine,28.0,7.0
257098765,2024-01-15T08:00:00,57.7000,11.9000,18.5,210.0,210,NORDIC FERRY,IMO9567890,LFGH,Passenger,Under way using engine,170.0,28.0
257098765,2024-01-15T08:05:00,57.6920,11.8870,18.7,210.0,210,NORDIC FERRY,IMO9567890,LFGH,Passenger,Under way using engine,170.0,28.0
257098765,2024-01-15T08:10:00,57.6840,11.8740,18.4,210.0,210,NORDIC FERRY,IMO9567890,LFGH,Passenger,Under way using engine,170.0,28.0
257098765,2024-01-15T08:15:00,57.6760,11.8610,18.6,210.0,210,NORDIC FERRY,IMO9567890,LFGH,Passenger,Under way using engine,170.0,28.0
244987654,2024-01-15T08:00:00,56.6500,11.4000,22.3,355.0,355,ROTTERDAM EXPRESS,IMO9678901,PBJK,Container Ship,Under way using engine,240.0,32.0
244987654,2024-01-15T08:05:00,56.6680,11.4000,22.5,355.0,355,ROTTERDAM EXPRESS,IMO9678901,PBJK,Container Ship,Under way using engine,240.0,32.0
244987654,2024-01-15T08:10:00,56.6860,11.4000,22.4,355.0,355,ROTTERDAM EXPRESS,IMO9678901,PBJK,Container Ship,Under way using engine,240.0,32.0
244987654,2024-01-15T08:15:00,56.7040,11.4000,22.6,355.0,355,ROTTERDAM EXPRESS,IMO9678901,PBJK,Container Ship,Under way using engine,240.0,32.0
